reviewid,reviewdate,username,rating,title,content,translatedcontent,sentiment,appversion,responsecontent,responsedate,source
,2025-02-10 12:54:22,JackChui96,5,,EASY TO USE APP,EASY TO USE APP,POSITIVE,,,,Appstore
,2025-02-08 09:58:44,ツォい,2,,作為虛擬銀行，顧客主要就是用app進行戶口操作，2月1日轉賬是app上無法馬上更新資料，導致我以為轉賬失敗，再次轉賬，雖然沒有造成經濟損失，但這種情況不是一次兩次了，望改進。,作為虛擬銀行，顧客主要就是用app進行戶口操作，2月1日轉賬是app上無法馬上更新資料，導致我以為轉賬失敗，再次轉賬，雖然沒有造成經濟損失，但這種情況不是一次兩次了，望改進。,NEGATIVE,,,,Appstore
,2025-02-06 14:11:25,zerostarsifpossible,1,,I can never place an online order when in-app verification is required. Reported this in troubleshooting chat but the staff were totally unhelpful and unknowledgeable. What a waste of time.,I can never place an online order when in-app verification is required. Reported this in troubleshooting chat but the staff were totally unhelpful and unknowledgeable. What a waste of time.,NEGATIVE,,,,Appstore
,2025-02-05 09:26:14,patpatpatpat11234,1,,一update完就彈app,一update完就彈app,NEGATIVE,,,,Appstore
,2025-02-05 07:49:21,NgeYee,1,,已經差唔多一日 我兩部蘋果手機下載咗Mox之後都開唔到 Android機就可以,Already almost a day my two Apple phones downloaded the Mox after can not turn on Android machine can,NEGATIVE,,,,Appstore
,2025-02-04 14:52:25,yumi_b,3,,一襟個app.即刻彈走…試過熄機開過又唔得…Del app再裝返都唔我，要點樣整？,"One broth the app. immediately pop away ... tried to turn off the machine to turn on and can not ... Del app and then install back not me, how to make?",NEGATIVE,,,,Appstore
,2025-02-04 09:07:55,TTYan,2,,Update完開唔到個Apps！,I can't open the Apps after Update!,NEGATIVE,,,,Appstore
,2025-01-25 06:32:06,Zafafafaf,1,,"Super unhelpful support, wasted an hour trying to get my account activated. Still not working, gosh….","Super unhelpful support, wasted an hour trying to get my account activated. Still not working, gosh….",NEGATIVE,,,,Appstore
,2025-01-24 13:42:20,Singkcs,1,,"My account has been locked for 1 week and unable to withdraw any money.
Will close account after unlock","My account has been locked for 1 week and unable to withdraw any money.
Will close account after unlock",NEGATIVE,,,,Appstore
,2025-01-17 10:14:09,choichoi886,2,,設計美感差。醜爆。。功能我就當你八達通咁用。拜託比我每次簡單睇到餘額。。次次密碼太麻煩。。。另外唔好人地付款時你賣廣告。。卡一卡就混亂了。。。,Poor design beauty. Ugly explosion. . Function I use as you Octopus. Please give me a simple balance every time. . The password is too troublesome. . . Also don't pay people with a commercial when paying people. . The card one card is chaotic. . .,NEGATIVE,,,,Appstore
